model,micro_f1,macro_f1,weighted_f1,samples_f1,hamming_loss,exact_match_ratio
Fine-tuned BERT (Text Only),0.6026143790849673,0.47227115730488595,0.5883301679859507,0.6463725829725829,0.06514285714285714,0.2
BERT (Minimal),0.501530754244364,0.34668808090076453,0.47266924284141976,0.571834126984127,0.06396428571428571,0.185
BERT (Medium),0.47393364928909953,0.32539947678967657,0.43929517681962815,0.5417793650793651,0.06739285714285714,0.18
RoBERTa (Minimal),0.4502738541366388,0.2713443128587025,0.4006999958866861,0.5055047619047619,0.06810714285714285,0.18
RoBERTa (Medium),0.4281984334203655,0.26967868984951704,0.3823722330757695,0.4803952380952381,0.07039285714285715,0.167
BERT (Harsh),0.45444444444444443,0.2447778599322528,0.38105982016303386,0.5223023809523809,0.07014285714285715,0.175
RoBERTa (Harsh),0.42554410080183275,0.22879178363881061,0.3554243419310686,0.4813571428571429,0.07164285714285715,0.168
Ekman (Minimal),0.11661971830985915,0.05880113180009811,0.048788652513750926,0.10197142857142857,0.112,0.005
Ekman (Medium),0.11341942728804043,0.055051831136960584,0.04609909937583774,0.10060000000000001,0.11278571428571428,0.005
Ekman (Harsh),0.10876303183995492,0.053341464020326745,0.04396260422737276,0.0949738095238095,0.11296428571428571,0.005
